d_date,date,delay,distance,origin,destination
2014-11-22,1122145,-1,660,ATL,JFK
2014-11-22,1122055,-5,384,ATL,MLB
2014-11-22,1122040,42,560,ATL,FNT
2014-11-22,1122025,-2,353,ATL,TPA
2014-11-22,1122156,-3,527,ATL,ORD
2014-11-22,1122143,16,1382,ATL,SLC
2014-11-22,1122140,-4,706,ATL,AUS
2014-11-22,1122159,11,375,ATL,IND
2014-11-22,1122045,-4,1379,ATL,PHX
2014-11-22,1122145,-1,501,ATL,BWI
2014-11-22,1122145,-2,517,ATL,MIA
2014-11-22,1122140,-2,418,ATL,RIC
2014-11-22,1122025,-2,316,ATL,CRW
2014-11-22,1122040,5,788,ATL,MSP
2014-11-22,1122140,-3,208,ATL,ECP
2014-11-22,1122025,-1,197,ATL,CLT
2014-11-22,1122140,0,449,ATL,ORF
2014-11-22,1122140,-5,236,ATL,PNS
2014-11-22,1122027,1,1859,ATL,SFO
2014-11-22,1122153,2,602,ATL,MCI
2014-11-22,1122200,-3,353,ATL,TPA
2014-11-22,1122025,-5,376,ATL,DAY
2014-11-22,1122028,0,1896,ATL,SEA
2014-11-22,1122145,52,1691,ATL,LAX
2014-11-22,1122003,6,1644,ATL,SAN
2014-11-22,1122036,25,513,ATL,MDW
2014-11-22,1122145,-1,386,ATL,SRQ
2014-11-22,1122145,2,599,ATL,IAH
2014-11-22,1122045,-6,133,ATL,GSP
2014-11-22,1122035,18,556,ATL,GRR
2014-11-22,1122201,38,217,ATL,VPS
2014-11-22,1122045,-4,166,ATL,CAE
2014-11-22,1122140,79,648,ATL,EWR
2014-11-22,1122201,8,309,ATL,RDU
2014-11-22,1122054,0,351,ATL,MCO
2014-11-22,1122051,15,464,ATL,IAD
2014-11-22,1122043,-2,505,ATL,FLL
2014-11-22,1122014,4,648,ATL,EWR
2014-11-22,1122029,112,390,ATL,BTR
2014-11-22,1122050,24,491,ATL,PIA
2014-11-22,1122144,6,390,ATL,BTR
2014-11-22,1122201,-7,512,ATL,XNA
2014-11-22,1122110,0,538,ATL,MDT
2014-11-22,1122206,55,262,ATL,MOB
2014-11-22,1122045,-5,503,ATL,FSM
2014-11-22,1122034,-5,678,ATL,HPN
2014-11-22,1122045,19,346,ATL,OAJ
2014-11-22,1122030,-6,181,ATL,VLD
2014-11-22,1122159,35,131,ATL,HSV
2014-11-22,1122157,4,261,ATL,GNV
2014-11-22,1122050,34,620,ATL,AVP
2014-11-22,1122035,10,310,ATL,ROA
2014-11-22,1122040,-8,92,ATL,CHA
2014-11-22,1122045,-3,304,ATL,EVV
2014-11-22,1122140,-7,287,ATL,FAY
2014-11-22,1122030,1,194,ATL,TLH
2014-11-22,1122144,-2,143,ATL,AVL
2014-11-22,1122115,10,328,ATL,ILM
2014-11-22,1122040,0,127,ATL,MGM
2014-11-22,1122200,76,479,ATL,SHV
2014-11-22,1122045,17,627,ATL,DAL
2014-11-22,1122029,25,482,ATL,CLE
2014-11-22,1122010,48,665,ATL,ATW
2014-11-22,1122055,-3,550,ATL,MLI
2014-11-22,1122205,-11,194,ATL,TLH
2014-11-22,1122055,-5,125,ATL,AGS
2014-11-22,1122055,-7,306,ATL,GPT
2014-11-22,1122120,92,463,ATL,BMI
2014-11-22,1122115,18,602,ATL,ABE
2014-11-22,1122030,57,442,ATL,PHF
2014-11-22,1122055,-3,377,ATL,EWN
2014-11-22,1122105,9,1691,ATL,LAX
2014-11-22,1122059,-1,788,ATL,MSP
2014-11-22,1122055,11,459,ATL,CAK
2014-11-22,1122020,29,475,ATL,DCA
2014-11-22,1122055,2,505,ATL,FLL
2014-11-22,1122100,4,449,ATL,ORF
2014-11-22,1122110,17,822,ATL,BOS
2014-11-22,1122125,7,475,ATL,DCA
2014-11-22,1122102,14,418,ATL,RIC
2014-11-22,1122100,3,447,ATL,RSW
2014-11-22,1122055,27,513,ATL,MDW
2014-11-22,1122130,-2,1518,ATL,LAS
2014-11-22,1122146,3,351,ATL,MCO
2014-11-22,1122041,24,1859,ATL,SFO
2014-11-22,1122055,25,579,ATL,PHL
2014-11-22,1122100,-2,747,ATL,BDL
2014-11-22,1122054,32,375,ATL,IND
2014-11-22,1122018,27,581,ATL,MKE
2014-11-22,1122055,-7,527,ATL,ORD
2014-11-22,1122020,0,517,ATL,MIA
2014-11-22,1122010,-1,197,ATL,CLT
2014-11-22,1122055,11,605,ATL,HOU
2014-11-22,1122055,11,662,ATL,LGA
2014-11-22,1122055,23,279,ATL,SDF
2014-11-22,1122055,28,353,ATL,TPA
2014-11-22,1122020,-8,1079,AUS,LAX
2014-11-22,1122110,31,1012,AUS,SAN
2014-11-22,1122110,15,164,AUS,DAL
2014-11-22,1122005,-2,164,AUS,DAL
2014-11-22,1122025,80,1448,BDL,SJU
2014-11-22,1122110,9,346,BET,ANC
2014-11-22,1122000,47,207,BFL,SFO
2014-11-22,1122035,24,586,BOI,LAX
2014-11-22,1122027,20,162,BOS,JFK
2014-11-22,1122053,9,347,BOS,DCA
2014-11-22,1122200,-6,162,BOS,JFK
2014-11-22,1122056,-12,174,BOS,EWR
2014-11-22,1122000,-4,347,BOS,DCA
2014-11-22,1122005,9,321,BOS,BWI
2014-11-22,1122053,-12,262,BUF,JFK
2014-11-22,1122020,47,411,BUF,ORD
2014-11-22,1122149,0,2142,BUR,JFK
2014-11-22,1122025,-21,710,BUR,PDX
2014-11-22,1122011,-2,283,BUR,SFO
2014-11-22,1122030,2,311,BUR,SMF
2014-11-22,1122035,6,283,BUR,OAK
2014-11-22,1122030,1,194,BUR,LAS
2014-11-22,1122025,7,257,BUR,SJC
2014-11-22,1122030,-4,501,BWI,ATL
2014-11-22,1122128,6,353,BWI,DAY
2014-11-22,1122115,-4,684,BWI,MCO
2014-11-22,1122020,-13,540,BWI,ORD
2014-11-22,1122055,-1,459,BWI,GRR
2014-11-22,1122055,20,393,BWI,PWM
2014-11-22,1122105,31,251,BWI,ALB
2014-11-22,1122005,20,246,BWI,BDL
2014-11-22,1122055,25,191,BWI,ISP
2014-11-22,1122105,8,183,BWI,PIT
2014-11-22,1122055,57,241,BWI,ROC
2014-11-22,1122055,32,284,BWI,PVD
2014-11-22,1122015,-7,684,BWI,MCO
2014-11-22,1122055,48,321,BWI,BOS
2014-11-22,1122105,19,327,BWI,MHT
2014-11-22,1122010,54,531,BWI,MDW
2014-11-22,1122055,28,244,BWI,BUF
2014-11-22,1122105,-4,246,BWI,BDL
2014-11-22,1122032,-9,75,CLD,LAX
2014-11-22,1122024,-4,369,CLE,ALB
2014-11-22,1122100,-2,948,CLE,IAH
2014-11-22,1122058,8,285,CLE,MKE
2014-11-22,1122035,47,521,CLT,ORD
2014-11-22,1122210,-1,813,CLT,DFW
2014-11-22,1122014,28,1995,CLT,SFO
2014-11-22,1122216,-6,1162,CLT,DEN
2014-11-22,1122025,-2,793,CLT,IAH
2014-11-22,1122007,0,500,CLT,STL
2014-11-22,1122220,164,252,CLT,ORF
2014-11-22,1122010,-5,359,CLT,MDT
2014-11-22,1122225,-3,314,CLT,BWI
2014-11-22,1122000,2,1846,CLT,LAX
2014-11-22,1122000,-2,498,CLT,ROC
2014-11-22,1122011,-1,197,CLT,ATL
2014-11-22,1122010,-2,813,CLT,DFW
2014-11-22,1122212,-4,560,CLT,BDL
2014-11-22,1122227,-6,549,CLT,FLL
2014-11-22,1122005,-4,407,CLT,MCO
2014-11-22,1122211,10,521,CLT,RSW
2014-11-22,1122219,-11,434,CLT,DTW
2014-11-22,1122218,-4,459,CLT,EWR
2014-11-22,1122233,-2,521,CLT,ORD
2014-11-22,1122211,1,390,CLT,PHL
2014-11-22,1122015,13,390,CLT,PHL
2014-11-22,1122221,-3,793,CLT,IAH
2014-11-22,1122015,-9,72,CLT,GSO
2014-11-22,1122211,-4,633,CLT,BOS
2014-11-22,1122214,-5,513,CLT,PBI
2014-11-22,1122006,-7,633,CLT,BOS
2014-11-22,1122009,6,521,CLT,ORD
2014-11-22,1122220,-4,407,CLT,MCO
2014-11-22,1122020,1,113,CLT,RDU
2014-11-22,1122000,-3,285,CLT,BNA
2014-11-22,1122220,-4,441,CLT,TPA
2014-11-22,1122015,0,475,CLT,BUF
2014-11-22,1122225,9,197,CLT,ATL
2014-11-22,1122211,-3,470,CLT,JFK
2014-11-22,1122215,-3,288,CLT,DCA
2014-11-22,1122014,0,285,CLT,JAX
2014-11-22,1122015,-2,252,CLT,ORF
2014-11-22,1122215,12,562,CLT,ALB
2014-11-22,1122003,-3,374,CLT,CLE
2014-11-22,1122230,-3,161,CLT,ILM
2014-11-22,1122218,-4,475,CLT,BUF
2014-11-22,1122020,2,473,CLT,LGA
2014-11-22,1122005,-3,702,CLT,MCI
2014-11-22,1122230,-4,285,CLT,BNA
2014-11-22,1122220,-4,565,CLT,MIA
2014-11-22,1122214,10,524,CLT,SYR
2014-11-22,1122000,-1,459,CLT,EWR
2014-11-22,1122012,-4,594,CLT,PVD
2014-11-22,1122000,-4,444,CLT,MEM
2014-11-22,1122220,-8,285,CLT,JAX
2014-11-22,1122209,10,594,CLT,PVD
2014-11-22,1122215,2,808,CLT,MSP
2014-11-22,1122020,7,549,CLT,FLL
2014-11-22,1122020,-5,223,CLT,RIC
2014-11-22,1122220,11,223,CLT,RIC
2014-11-22,1122209,-3,473,CLT,LGA
2014-11-22,1122211,-2,318,CLT,PIT
2014-11-22,1122037,-13,230,CVG,ORD
2014-11-22,1122025,40,705,CVG,DFW
2014-11-22,1122005,3,276,CVG,MKE
2014-11-22,1122055,19,474,DAL,STL
2014-11-22,1122000,-2,208,DAL,HOU
2014-11-22,1122125,31,281,DAL,AMA
2014-11-22,1122100,-3,208,DAL,HOU
2014-11-22,1122100,78,215,DAL,SAT
2014-11-22,1122015,2,379,DAL,MSY
2014-11-22,1122050,4,164,DAL,AUS
2014-11-22,1122130,6,277,DAL,MAF
2014-11-22,1122005,10,215,DAL,SAT
2014-11-22,1122035,10,400,DAL,MCI
2014-11-22,1122030,5,289,DAL,ICT
2014-11-22,1122045,13,255,DAL,LBB
2014-11-22,1122010,-8,1036,DCA,DFW
2014-11-22,1122030,-9,799,DCA,MIA
2014-11-22,1122100,-8,532,DCA,ORD
2014-11-22,1122010,2,347,DCA,BOS
2014-11-22,1122000,-4,475,DCA,ATL
2014-11-22,1122151,-10,173,DCA,EWR
2014-11-22,1122010,-2,625,DCA,STL
2014-11-22,1122035,3,488,DCA,BNA
2014-11-22,1122000,13,288,DCA,CLT
2014-11-22,1122205,-7,310,DCA,PVD
2014-11-22,1122205,-12,272,DCA,BDL
2014-11-22,1122200,-5,347,DCA,BOS
2014-11-22,1122000,-4,186,DCA,LGA
2014-11-22,1122200,-4,186,DCA,LGA
2014-11-22,1122010,64,424,DEN,DIK
2014-11-22,1122036,-2,263,DEN,SAF
2014-11-22,1122022,0,449,DEN,BIS
2014-11-22,1122151,1,218,DEN,DRO
2014-11-22,1122152,13,749,DEN,IAH
2014-11-22,1122205,42,171,DEN,MTJ
2014-11-22,1122201,14,261,DEN,RAP
2014-11-22,1122030,9,591,DEN,MSP
2014-11-22,1122009,7,557,DEN,DFW
2014-11-22,1122055,-3,890,DEN,SEA
2014-11-22,1122059,-12,735,DEN,SNA
2014-11-22,1122115,74,726,DEN,GEG
2014-11-22,1122105,-6,455,DEN,BZN
2014-11-22,1122055,2,749,DEN,LAX
2014-11-22,1122004,119,410,DEN,OMA
2014-11-22,1122010,16,420,DEN,FSD
2014-11-22,1122059,-7,741,DEN,SAN
2014-11-22,1122005,-9,525,DEN,MOT
2014-11-22,1122110,6,340,DEN,SLC
2014-11-22,1122105,3,840,DEN,SFO
2014-11-22,1122055,70,523,DEN,PHX
2014-11-22,1122105,-5,546,DEN,LAS
2014-11-22,1122104,0,861,DEN,PDX
2014-11-22,1122055,-2,463,DEN,MCI
2014-11-22,1122153,8,489,DEN,MAF
2014-11-22,1122004,-1,98,DEN,LAR
2014-11-22,1122152,0,711,DEN,ONT
2014-11-22,1122204,-2,741,DEN,PSC
2014-11-22,1122152,-7,733,DEN,FAT
2014-11-22,1122018,56,430,DEN,OKC
2014-11-22,1122136,-1,123,DEN,HDN
2014-11-22,1122145,-1,63,DEN,COS
2014-11-22,1122148,0,109,DEN,ASE
2014-11-22,1122155,22,555,DEN,TUS
2014-11-22,1122207,-15,200,DEN,CPR
2014-11-22,1122000,9,340,DEN,COD
2014-11-22,1122208,-6,63,DEN,COS
2014-11-22,1122152,-3,398,DEN,IDA
2014-11-22,1122152,22,749,DEN,LAX
2014-11-22,1122030,-5,395,DEN,BIL
2014-11-22,1122015,4,591,DEN,MSP
2014-11-22,1122155,0,840,DEN,SFO
2014-11-22,1122019,27,824,DEN,SJC
2014-11-22,1122015,16,832,DEN,OAK
2014-11-22,1122015,22,340,DEN,SLC
2014-11-22,1122030,8,824,DEN,SJC
2014-11-22,1122030,11,739,DEN,BUR
2014-11-22,1122030,-2,523,DEN,PHX
2014-11-22,1122015,5,749,DEN,LAX
2014-11-22,1122055,59,741,DEN,SAN
2014-11-22,1122015,2,890,DEN,SEA
2014-11-22,1122015,17,790,DEN,SMF
2014-11-22,1122010,50,840,DEN,SFO
2014-11-22,1122015,3,711,DEN,ONT
2014-11-22,1122115,45,546,DEN,LAS
2014-11-22,1122025,13,303,DEN,ABQ
2014-11-22,1122015,89,555,DEN,TUS
2014-11-22,1122015,14,564,DEN,BOI
2014-11-22,1122220,-4,706,DFW,TUS
2014-11-22,1122205,-4,1017,DFW,SAN
2014-11-22,1122045,15,1036,DFW,DCA
2014-11-22,1122120,4,1250,DFW,SJC
2014-11-22,1122220,-8,479,DFW,ELP
2014-11-22,1122205,-1,557,DFW,DEN
2014-11-22,1122040,40,807,DFW,TPA
2014-11-22,1122120,41,1273,DFW,SFO
2014-11-22,1122135,-3,214,DFW,SAT
2014-11-22,1122205,-4,206,DFW,TUL
2014-11-22,1122145,-1,400,DFW,MCI
2014-11-22,1122135,5,478,DFW,STL
2014-11-22,1122130,-3,859,DFW,SLC
2014-11-22,1122025,17,974,DFW,MIA
2014-11-22,1122155,3,917,DFW,LAS
2014-11-22,1122030,5,1141,DFW,FAT
2014-11-22,1122030,-4,856,DFW,MCO
2014-11-22,1122040,8,152,DFW,OKC
2014-11-22,1122230,-4,214,DFW,SAT
2014-11-22,1122020,0,1273,DFW,SFO
2014-11-22,1122130,-2,1442,DFW,SEA
2014-11-22,1122115,1,1243,DFW,SMF
2014-11-22,1122025,20,494,DFW,ABQ
2014-11-22,1122105,-1,165,DFW,AUS
2014-11-22,1122110,2,206,DFW,TUL
2014-11-22,1122030,79,740,DFW,MSP
2014-11-22,1122025,-2,1017,DFW,SAN
2014-11-22,1122050,3,264,DFW,LIT
2014-11-22,1122140,-2,754,DFW,PHX
2014-11-22,1122100,23,524,DFW,HSV
2014-11-22,1122010,12,165,DFW,AUS
2014-11-22,1122130,-2,548,DFW,BNA
2014-11-22,1122120,-3,1404,DFW,PDX
2014-11-22,1122005,-7,958,DFW,PBI
2014-11-22,1122005,-3,922,DFW,RDU
2014-11-22,1122225,-5,152,DFW,OKC
2014-11-22,1122005,-1,661,DFW,IND
2014-11-22,1122005,66,928,DFW,PIT
2014-11-22,1122210,-5,285,DFW,ICT
2014-11-22,1122035,-2,542,DFW,DSM
2014-11-22,1122025,-3,741,DFW,MKE
2014-11-22,1122055,1,637,DFW,SDF
2014-11-22,1122110,86,375,DFW,MEM
2014-11-22,1122155,-4,1033,DFW,ONT
2014-11-22,1122000,49,754,DFW,PHX
2014-11-22,1122125,2,507,DFW,OMA
2014-11-22,1122025,3,697,DFW,ORD
2014-11-22,1122200,-8,389,DFW,MSY
2014-11-22,1122030,22,308,DFW,CRP
2014-11-22,1122030,2,857,DFW,DTW
2014-11-22,1122115,57,1047,DFW,SNA
2014-11-22,1122000,-2,1442,DFW,SEA
2014-11-22,1122025,5,479,DFW,ELP
2014-11-22,1122125,-4,195,DFW,IAH
2014-11-22,1122110,-3,407,DFW,MFE
2014-11-22,1122040,41,214,DFW,SAT
2014-11-22,1122125,43,514,DFW,COS
2014-11-22,1122040,37,245,DFW,LBB
2014-11-22,1122030,136,1073,DFW,LAX
2014-11-22,1122235,5,1073,DFW,LAX
2014-11-22,1122125,-1,1073,DFW,LAX
2014-11-22,1122105,-7,215,DFW,HOU
2014-11-22,1122040,72,165,DFW,SHV
2014-11-22,1122115,-5,271,DFW,AMA
2014-11-22,1122000,-4,235,DFW,BPT
2014-11-22,1122115,-7,137,DFW,ABI
2014-11-22,1122025,39,305,DFW,LFT
2014-11-22,1122125,2,78,DFW,ACT
2014-11-22,1122130,-4,244,DFW,XNA
2014-11-22,1122015,0,584,DFW,PIA
2014-11-22,1122005,-7,117,DFW,GRK
2014-11-22,1122055,-4,469,DFW,MOB
2014-11-22,1122025,-1,599,DFW,BMI
2014-11-22,1122040,5,244,DFW,XNA
2014-11-22,1122215,-8,117,DFW,GRK
2014-11-22,1122000,-1,254,DFW,MLU
2014-11-22,1122035,-3,344,DFW,LRD
2014-11-22,1122000,0,256,DFW,LCH
2014-11-22,1122055,-5,142,DFW,CLL
2014-11-22,1122005,-8,268,DFW,MAF
2014-11-22,1122015,-6,670,DFW,TYS
2014-11-22,1122005,5,641,DFW,FSD
2014-11-22,1122040,-1,247,DFW,AEX
2014-11-22,1122010,-5,375,DFW,MHK
2014-11-22,1122115,12,355,DFW,JAN
2014-11-22,1122035,16,199,DFW,SJT
2014-11-22,1122130,-4,89,DFW,TYR
2014-11-22,1122045,-3,525,DFW,PNS
2014-11-22,1122115,-6,316,DFW,SGF
2014-11-22,1122045,4,540,DFW,MGM
2014-11-22,1122045,3,714,DFW,MSN
2014-11-22,1122055,3,351,DFW,GCK
2014-11-22,1122025,-4,600,DFW,MLI
2014-11-22,1122030,-5,157,DFW,TXK
2014-11-22,1122040,-3,122,DFW,LAW
2014-11-22,1122050,-2,434,DFW,GPT
2014-11-22,1122008,17,1073,DFW,LAX
2014-11-22,1122043,-3,697,DFW,ORD
2014-11-22,1122055,-5,435,DTW,RDU
2014-11-22,1122146,-5,477,DTW,BDL
2014-11-22,1122135,-1,396,DTW,BNA
2014-11-22,1122145,0,1520,DTW,LAS
2014-11-22,1122135,0,436,DTW,LGA
2014-11-22,1122028,-7,352,DTW,DCA
2014-11-22,1122145,-4,549,DTW,BOS
2014-11-22,1122030,-5,434,DTW,CLT
2014-11-22,1122141,-6,271,DTW,MSN
2014-11-22,1122006,-7,394,DTW,PHL
2014-11-22,1122000,-1,530,DTW,MEM
2014-11-22,1122001,-4,204,DTW,ORD
2014-11-22,1122007,-2,201,DTW,IND
2014-11-22,1122042,-3,424,DTW,EWR
2014-11-22,1122012,-4,782,DTW,OKC
2014-11-22,1122011,-7,396,DTW,RIC
2014-11-22,1122006,-2,83,DTW,CLE
2014-11-22,1122140,22,459,DTW,MSP
2014-11-22,1122016,-3,301,DTW,PIA
2014-11-22,1122020,11,369,DTW,ABE
2014-11-22,1122012,-1,686,DTW,TUL
2014-11-22,1122011,-3,621,DTW,XNA
2014-11-22,1122059,0,198,DTW,MDW
2014-11-22,1122045,-5,288,DTW,ELM
2014-11-22,1122143,55,652,DTW,BGR
2014-11-22,1122000,-4,204,DTW,ORD
2014-11-22,1122000,7,565,DTW,OMA
2014-11-22,1122005,-9,136,DTW,SBN
2014-11-22,1122025,-1,206,DTW,MKE
2014-11-22,1122015,-5,198,DTW,MDW
2014-11-22,1122005,-2,302,ELP,PHX
2014-11-22,1122025,7,488,ELP,DAL
2014-11-22,1122114,61,815,EWR,MCO
2014-11-22,1122150,39,925,EWR,FLL
2014-11-22,1122108,-4,174,EWR,BOS
2014-11-22,1122205,18,182,EWR,MHT
2014-11-22,1122115,-1,713,EWR,JAX
2014-11-22,1122000,-2,173,EWR,DCA
2014-11-22,1122014,13,985,EWR,OMA
2014-11-22,1122116,-6,241,EWR,RIC
2014-11-22,1122100,14,517,EWR,GSP
2014-11-22,1122116,24,351,EWR,CLE
2014-11-22,1122025,23,630,EWR,MKE
2014-11-22,1122140,-4,247,EWR,ORF
2014-11-22,1122020,-2,1056,EWR,TUL
2014-11-22,1122040,-5,876,EWR,MSP
2014-11-22,1122053,-8,495,EWR,CVG
2014-11-22,1122123,10,758,EWR,STL
2014-11-22,1122052,18,387,EWR,GSO
2014-11-22,1122027,10,1151,EWR,OKC
2014-11-22,1122043,-1,1014,EWR,MSY
2014-11-22,1122115,2,174,EWR,BOS
2014-11-22,1122050,5,943,EWR,MIA
2014-11-22,1122025,45,928,EWR,RSW
2014-11-22,1122002,12,174,EWR,BOS
2014-11-22,1122202,4,174,EWR,BOS
2014-11-22,1122045,9,1377,EWR,BQN
2014-11-22,1122009,-1,2133,EWR,LAX
2014-11-22,1122045,42,867,EWR,TPA
2014-11-22,1122007,7,1216,EWR,IAH
2014-11-22,1122050,-7,889,EWR,PBI
2014-11-22,1122011,48,2229,EWR,SFO
2014-11-22,1122029,-1,925,EWR,FLL
2014-11-22,1122030,-10,618,EWR,MDW
2014-11-22,1122004,-4,182,FAT,LAX
2014-11-22,1122002,36,929,FLL,JFK
2014-11-22,1122145,262,925,FLL,EWR
2014-11-22,1122030,13,700,FLL,RIC
2014-11-22,1122015,36,1020,FLL,BDL
2014-11-22,1122055,156,935,FLL,LGA
2014-11-22,1122205,0,929,FLL,JFK
2014-11-22,1122055,7,909,FLL,SJU
2014-11-22,1122026,-10,136,FWA,ORD
2014-11-22,1122155,42,2221,HNL,LAX
2014-11-22,1122055,80,2326,HNL,SEA
2014-11-22,1122230,19,2413,HNL,ANC
2014-11-22,1122200,-1,2601,HNL,SLC
2014-11-22,1122230,-7,2221,HNL,LAX
2014-11-22,1122151,-10,89,HNL,LIH
2014-11-22,1122019,-4,89,HNL,LIH
2014-11-22,1122006,-1,142,HNL,KOA
2014-11-22,1122150,-8,87,HNL,OGG
2014-11-22,1122016,-7,87,HNL,OGG
2014-11-22,1122125,-6,4312,HNL,EWR
2014-11-22,1122000,-8,3687,HNL,ORD
2014-11-22,1122155,6,2084,HNL,SFO
2014-11-22,1122145,15,2221,HNL,LAX
2014-11-22,1122035,-8,215,HOU,DFW
2014-11-22,1122030,58,605,HOU,ATL
2014-11-22,1122125,10,162,HOU,CRP
2014-11-22,1122000,31,208,HOU,DAL
2014-11-22,1122100,31,208,HOU,DAL
2014-11-22,1122100,22,364,HOU,OKC
2014-11-22,1122100,33,394,HOU,TUL
2014-11-22,1122010,0,814,HOU,MDW
2014-11-22,1122100,11,767,HOU,DEN
2014-11-22,1122100,27,129,HOU,AUS
2014-11-22,1122100,30,167,HOU,SAT
2014-11-22,1122045,-1,263,HOU,MSY
2014-11-22,1122100,30,588,HOU,ELP
2014-11-22,1122100,13,240,HOU,HRL
2014-11-22,1122055,-11,918,HPN,PBI
2014-11-22,1122055,146,359,IAD,BOS
2014-11-22,1122157,0,279,IAD,CLT
2014-11-22,1122150,3,260,IAD,CMH
2014-11-22,1122156,-6,87,IAD,RIC
2014-11-22,1122149,-3,464,IAD,ATL
2014-11-22,1122150,45,154,IAD,ROA
2014-11-22,1122155,-1,198,IAD,JFK
2014-11-22,1122150,-1,199,IAD,LGA
2014-11-22,1122150,14,250,IAD,ROC
2014-11-22,1122201,-7,471,IAD,BNA
2014-11-22,1122200,4,414,IAD,IND
2014-11-22,1122208,3,704,IAD,TPA
2014-11-22,1122203,18,1988,IAD,LAX
2014-11-22,1122205,27,511,IAD,ORD
2014-11-22,1122003,14,2102,IAD,SFO
2014-11-22,1122157,1,359,IAD,BOS
2014-11-22,1122214,12,2102,IAD,SFO
2014-11-22,1122205,83,1034,IAD,IAH
2014-11-22,1122201,1,1262,IAD,DEN
2014-11-22,1122210,-2,659,IAD,MCO
2014-11-22,1122105,-3,111,IAH,LCH
2014-11-22,1122105,0,262,IAH,LRD
2014-11-22,1122105,-5,517,IAH,HSV
2014-11-22,1122105,-2,813,IAH,TUS
2014-11-22,1122105,2,220,IAH,BTR
2014-11-22,1122105,-2,371,IAH,MOB
2014-11-22,1122105,-2,175,IAH,LFT
2014-11-22,1122010,-2,898,IAH,MSP
2014-11-22,1122105,5,175,IAH,CRP
2014-11-22,1122003,6,325,IAH,LIT
2014-11-22,1122015,10,489,IAH,BHM
2014-11-22,1122025,14,305,IAH,JAN
2014-11-22,1122057,19,580,IAH,ELP
2014-11-22,1122007,26,167,IAH,SHV
2014-11-22,1122037,0,227,IAH,MLU
2014-11-22,1122053,110,188,IAH,DAL
2014-11-22,1122015,-4,757,IAH,CVG
2014-11-22,1122105,22,195,IAH,DFW
2014-11-22,1122005,-4,327,IAH,GPT
2014-11-22,1122057,-2,407,IAH,MEM
2014-11-22,1122057,11,373,IAH,TUL
2014-11-22,1122105,14,459,IAH,VPS
2014-11-22,1122006,-5,175,IAH,LFT
2014-11-22,1122105,8,559,IAH,MCI
2014-11-22,1122105,86,268,IAH,BRO
2014-11-22,1122033,0,165,IAH,AEX
2014-11-22,1122105,2,144,IAH,GRK
2014-11-22,1122108,74,373,IAH,MAF
2014-11-22,1122107,-3,275,IAH,MFE
2014-11-22,1122108,-6,1241,IAH,BFL
2014-11-22,1122105,0,256,IAH,HRL
